MWBC,STATE,COUNTY,LAKE,AREA,YEAR,DATE,AGE0CPE,AGE1CPE,AGENCY,CODE,CRNTCODE,MILESURV,SHORMILE,PERCSURV,AGE0WAE,AGE0MINL,AGE0MAXL,AGE0AVEL,AGE1WAE,AGE1MINL,AGE1MAXL,AGE1AVEL,TOTALWAE,MUE,NOP,LMB,SMB,COMMENT,TEMP,CLARITY,RELIABLE,HOURS,OLDMILES,FORMMILE,MILESRCE,SHCKABLE,ALLSURV,MONTH,DAY,WDNRTYPE,ALLSHSRV
2339900,WI,VILAS,ESCANABA L,293,1965,9/24/1965,87.9310345,56.51341,WDNR,NR,NR,5.22,5.22,100,459,NA,NA,NA,295,NA,NA,NA,NA,NA,NA,NA,NA,,52,NA,,NA,5.22,5.22,,NA,Y,9,24,,
2339900,WI,VILAS,ESCANABA L,293,1965,9/26/1965,106.1302682,34.6743295,WDNR,NR,NR,5.22,5.22,100,554,NA,NA,NA,181,NA,NA,NA,NA,NA,NA,NA,NA,,49,NA,,NA,5.22,5.22,,NA,Y,9,26,,
2339900,WI,VILAS,ESCANABA L,293,1965,9/27/1965,47.5095785,26.4367816,WDNR,NR,NR,5.22,5.22,100,248,NA,NA,NA,138,NA,NA,NA,NA,NA,NA,NA,NA,,48,NA,,NA,5.22,5.22,,NA,Y,9,27,,
2339900,WI,VILAS,ESCANABA L,293,1965,9/28/1965,65.1340996,25.2873563,WDNR,NR,NR,5.22,5.22,100,340,NA,NA,NA,132,NA,NA,NA,NA,NA,NA,NA,NA,,49,NA,,NA,5.22,5.22,,NA,Y,9,28,,
2339900,WI,VILAS,ESCANABA L,293,1965,10/6/1965,58.4291188,12.835249,WDNR,NR,NR,5.22,5.22,100,305,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,,53,NA,,NA,5.22,5.22,,NA,Y,10,6,,
2339900,WI,VILAS,ESCANABA L,293,1965,10/12/1965,18.9655172,9.3869732,WDNR,NR,NR,5.22,5.22,100,99,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,,48,NA,,NA,5.22,5.22,,NA,Y,10,12,,
2339900,WI,VILAS,ESCANABA L,293,1966,9/8/1966,124.7126437,NA,WDNR,NR,NR,5.22,5.22,100,651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,68,NA,,NA,5.22,5.22,,NA,Y,9,8,,
2339900,WI,VILAS,ESCANABA L,293,1966,9/9/1966,176.0536398,NA,WDNR,NR,NR,5.22,5.22,100,919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,70,NA,,NA,5.22,5.22,,NA,Y,9,9,,
2339900,WI,VILAS,ESCANABA L,293,1966,9/11/1966,100.3831418,NA,WDNR,NR,NR,5.22,5.22,100,524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,70,NA,,NA,5.22,5.22,,NA,Y,9,11,,
2339900,WI,VILAS,ESCANABA L,293,1966,9/12/1966,86.0153257,NA,WDNR,NR,NR,5.22,5.22,100,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,69,NA,,NA,5.22,5.22,,NA,Y,9,12,,
